Date,Confirmed
12/1/2021,1801609
12/2/2021,1804994
12/3/2021,1808631
12/4/2021,1811253
12/5/2021,1813563
12/6/2021,1818250
12/7/2021,1821505
12/8/2021,1825443
12/9/2021,1829958
12/10/2021,1833043
12/11/2021,1838786
12/12/2021,1842317
12/13/2021,1848420
12/14/2021,1853660
12/15/2021,1860841
12/16/2021,1868765
12/17/2021,1878782
12/18/2021,1887086
12/19/2021,1895472
12/20/2021,1910922
12/21/2021,1925063
12/22/2021,1943963
12/23/2021,1969928
12/24/2021,1995112
12/25/2021,2014138
12/26/2021,2032312
12/27/2021,2054700
12/28/2021,2082785
12/29/2021,2137845
12/30/2021,2180799
12/31/2021,2223735
1/1/2022,2256747
1/2/2022,2286735
1/3/2022,2323056
1/4/2022,2372323
1/5/2022,2412242
1/6/2022,2454121
1/7/2022,2499612
1/8/2022,2528644
1/9/2022,2554916
1/10/2022,2613071
1/11/2022,2646228
1/12/2022,2681101
1/13/2022,2712688
1/14/2022,2753198
1/15/2022,2771345
1/16/2022,2786622
1/17/2022,2828029
1/18/2022,2848893
1/19/2022,2872365
1/20/2022,2895331
1/21/2022,2916524
1/22/2022,2930307
1/23/2022,2935575
1/24/2022,2954805
1/25/2022,2984054
1/26/2022,2991533
1/27/2022,3020108
1/28/2022,3036647
1/29/2022,3045083
1/30/2022,3052373
1/31/2022,3073654
2/1/2022,3085591
2/2/2022,3100943
2/3/2022,3114115
2/4/2022,3127213
2/5/2022,3133836
2/6/2022,3139239
2/7/2022,3155289
2/8/2022,3165329
2/9/2022,3175654
2/10/2022,3186085
2/11/2022,3193438
2/12/2022,3203282
2/13/2022,3206897
2/14/2022,3219086
2/15/2022,3225542
2/16/2022,3233298
2/17/2022,3240493
2/18/2022,3247240
2/19/2022,3250784
2/20/2022,3253232
2/21/2022,3256889
2/22/2022,3264880
2/23/2022,3274692
2/24/2022,3280453
2/25/2022,3289085
2/26/2022,3290897
2/27/2022,3294481
2/28/2022,3302400
3/1/2022,3307510
3/2/2022,3313423
3/3/2022,3321778
3/4/2022,3331281
3/5/2022,3334478
3/6/2022,3337091
3/7/2022,3345546
3/8/2022,3349699
3/9/2022,3356440
3/10/2022,3362047
3/11/2022,3370105
3/12/2022,3371929
3/13/2022,3373322
3/14/2022,3377844
3/15/2022,3386875
3/16/2022,3392164
3/17/2022,3396364
3/18/2022,3399704
3/19/2022,3402711
3/20/2022,3404964
3/21/2022,3413117
3/22/2022,3422583
3/23/2022,3429407
3/24/2022,3436460
3/25/2022,3445404
3/26/2022,3449778
3/27/2022,3453432
3/28/2022,3459582
3/29/2022,3470143
3/30/2022,3481119
3/31/2022,3489910
4/1/2022,3502925
4/2/2022,3509939
4/3/2022,3512520
4/4/2022,3513083
4/5/2022,3521987
4/6/2022,3531539
4/7/2022,3537558
4/8/2022,3537558
4/9/2022,3553125
4/10/2022,3553125
4/11/2022,3553125
4/12/2022,3553125
4/13/2022,3616933
4/14/2022,3635878
4/15/2022,3627832
4/16/2022,3644519
4/17/2022,3646457
4/18/2022,3658431
4/19/2022,3666324
4/20/2022,3679757
4/21/2022,3690272
4/22/2022,3707562
4/23/2022,3712313
4/24/2022,3716970
