,Deaths
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,2
3/10/2020,2
3/11/2020,2
3/12/2020,3
3/13/2020,5
3/14/2020,5
3/15/2020,5
3/16/2020,9
3/17/2020,12
3/18/2020,19
3/19/2020,21
3/20/2020,28
3/21/2020,40
3/22/2020,46
3/23/2020,59
3/24/2020,70
3/25/2020,89
3/26/2020,110
3/27/2020,131
3/28/2020,166
3/29/2020,203
3/30/2020,244
3/31/2020,303
4/1/2020,353
4/2/2020,439
4/3/2020,555
4/4/2020,652
4/5/2020,747
4/6/2020,884
4/7/2020,1011
4/8/2020,1145
4/9/2020,1274
4/10/2020,1406
4/11/2020,1556
4/12/2020,1724
4/13/2020,1920
4/14/2020,2091
4/15/2020,2277
4/16/2020,2464
4/17/2020,2660
4/18/2020,2846
4/19/2020,3038
4/20/2020,3205
4/21/2020,3386
4/22/2020,3578
4/23/2020,3764
4/24/2020,3934
4/25/2020,4128
4/26/2020,4283
4/27/2020,4447
4/28/2020,4634
4/29/2020,4848
4/30/2020,5023
5/1/2020,5218
5/2/2020,5370
5/3/2020,5510
5/4/2020,5656
5/5/2020,5796
5/6/2020,5936
5/7/2020,6057
5/8/2020,6175
5/9/2020,6309
5/10/2020,6432
5/11/2020,6548
5/12/2020,6664
5/13/2020,6762
5/14/2020,6880
5/15/2020,7005
5/16/2020,7111
5/17/2020,7204
5/18/2020,7301
5/19/2020,7386
5/20/2020,7486
5/21/2020,7575
5/22/2020,7673
5/23/2020,7761
5/24/2020,7836
5/25/2020,7919
5/26/2020,7998
5/27/2020,8069
5/28/2020,8165
5/29/2020,8243
5/30/2020,8295
5/31/2020,8342
6/1/2020,8390
6/2/2020,8428
6/3/2020,8473
6/4/2020,8501
6/5/2020,8538
6/6/2020,8571
6/7/2020,8595
6/8/2020,8623
6/9/2020,8650
6/10/2020,8675
6/11/2020,8703
6/12/2020,8724
6/13/2020,8746
6/14/2020,8757
6/15/2020,8778
6/16/2020,8791
6/17/2020,8803
6/18/2020,8816
6/19/2020,8832
6/20/2020,8838
6/21/2020,8854
6/22/2020,8868
6/23/2020,8884
6/24/2020,8903
6/25/2020,8915
6/26/2020,8924
6/27/2020,8930
6/28/2020,8939
6/29/2020,8951
6/30/2020,8960
7/1/2020,8968
7/2/2020,8985
7/3/2020,8989
7/4/2020,8995
7/5/2020,8998
7/6/2020,9011
7/7/2020,9024
7/8/2020,9035
7/9/2020,9047
7/10/2020,9053
7/11/2020,9057
7/12/2020,9059
7/13/2020,9064
7/14/2020,9069
7/15/2020,9074
7/16/2020,9085
7/17/2020,9089
7/18/2020,9091
7/19/2020,9093
7/20/2020,9097
7/21/2020,9101
7/22/2020,9107
7/23/2020,9115
7/24/2020,9118
7/25/2020,9120
7/26/2020,9121
7/27/2020,9135
7/28/2020,9140
7/29/2020,9145
7/30/2020,9155
7/31/2020,9160
